Date;AAPL;AMZN;GM;GOOGL;MSFT;PG;WMT
2009-12-31;26.986492;134.520004;;310.300293;24.89135;47.102375;43.785145
2010-01-04;27.406532000000002;133.899994;;313.68869;25.275177;47.483036;44.424107
2010-01-05;27.453915000000002;134.690002;;312.307312;25.283342;47.498581;43.981753999999995
2010-01-06;27.017222999999998;132.25;;304.434448;25.128178;47.273284999999994;43.88345
2010-01-07;26.967278000000004;130.0;;297.347351;24.866851999999998;47.016914;43.908028
2010-01-08;27.146565999999996;133.520004;;301.31131;25.038349;46.954758;43.686840000000004
2010-01-11;26.907093;130.309998;;300.855865;24.719858;46.768318;44.407722
2010-01-12;26.601022999999998;127.349998;;295.535522;24.55653;47.304363;44.833702
2010-01-13;26.976244;129.110001;;293.838837;24.785191;47.793803999999994;45.063065
2010-01-14;26.820007;127.349998;;295.220215;25.283342;47.840412;44.407722
2010-01-15;26.371792;127.139999;;290.290283;25.201679000000002;47.249981;43.973557
2010-01-19;27.538433;127.610001;;294.10409500000003;25.397671;47.949184;44.260269
2010-01-20;27.114555;125.779999;;290.49548300000004;24.981182;47.299735999999996;44.121021
2010-01-21;26.645842;126.620003;;291.781769;24.507528;46.822433000000004;43.350978999999995
2010-01-22;25.324244;121.43;;275.280273;23.650047;47.190193;43.367367
2010-01-25;26.005541;120.309998;;270.270264;23.944042;47.440578;43.318214000000005
2010-01-26;26.373071999999997;119.480003;;271.481476;24.091042;47.48753;43.916206
2010-01-27;26.621516999999997;122.75;;271.32132;24.229874;47.581421;43.744183
2010-01-28;25.521461;126.029999;;267.412415;23.813379;48.262153999999995;43.097031
2010-01-29;24.595573;125.410004;;265.235229;23.013071;48.160439000000004;43.768761
2010-02-01;24.937496;118.870003;;266.776764;23.200891;48.504719;43.809719
2010-02-02;25.082210999999997;118.120003;;265.825836;23.24173;49.216759;43.817917
2010-02-03;25.513775;119.099998;;270.680695;23.38056;49.021149;44.456882
2010-02-04;24.594294;115.940002;;263.653656;22.735409;48.043071999999995;43.391945
2010-02-05;25.030981;117.389999;;265.910919;22.882407999999998;47.964832;43.785145
2010-02-08;24.859381;116.83000200000001;;267.00201400000003;22.637408999999998;47.737907;43.35918
2010-02-09;25.124472;118.029999;;268.488495;22.874241;48.324757;43.621311
2010-02-10;24.987444;117.360001;;267.492493;22.857906;48.254333;43.613116999999995
2010-02-11;25.442059;120.089996;;268.468475;22.964071;48.481246999999996;43.482048
2010-02-12;25.661045;119.660004;;266.826813;22.808908;48.324757;43.334602000000004
2010-02-16;26.047794;117.529999;;270.920929;23.260166;49.161983;43.875256
2010-02-17;25.938944;116.309998;;269.37435899999997;23.457073;49.177631;44.284843
2010-02-18;25.987612;118.08000200000001;;271.88189700000004;23.768854;49.600165999999994;43.801536999999996
2010-02-19;25.826248;117.519997;;270.650665;23.604754999999997;49.647114;43.817917
2010-02-22;25.666172;118.010002;;271.671661;23.571939;49.62365;44.096439000000004
2010-02-23;25.235882;117.239998;;267.802795;23.24375;49.45932;43.9244
2010-02-24;25.696901;119.720001;;266.00100699999996;23.489887;49.991383;44.170151000000004
2010-02-25;25.868509;118.199997;;263.47848500000003;23.465281;49.842731;44.35857
2010-02-26;26.204027;118.400002;;263.66366600000003;23.522713;49.514103000000006;44.293037
2010-03-01;26.763662;124.540001;;266.611603;23.809872;49.694061;44.153778
2010-03-02;26.745731;125.529999;;270.800812;23.350409;49.850547999999996;43.89983
2010-03-03;26.807201;125.889999;;272.932922;23.350409;49.725361;43.957172
2010-03-04;26.983928999999996;128.529999;;277.572571;23.489887;49.819256;44.202919
2010-03-05;28.03916;128.91000400000001;;282.38739;23.457073;49.834903999999995;44.350384000000005
2010-03-08;28.055801000000002;130.110001;;281.52151499999997;23.489887;49.44368;44.35857
2010-03-09;28.560369;128.820007;;280.37536600000004;23.62937;49.529747;44.284843
2010-03-10;28.793440000000004;130.509995;;288.513519;23.768854;49.302834000000004;44.180222
2010-03-11;28.877962;133.580002;;290.86087000000003;23.941149;49.428036;44.460312
2010-03-12;29.018833;131.820007;;290.06005899999997;24.014992000000003;49.545390999999995;44.402645
2010-03-15;28.66538;131.130005;;281.871857;24.031397;49.842731;45.654812
2010-03-16;28.743502000000003;131.78999299999998;;282.882874;24.09704;49.709709000000004;46.124373999999996
2010-03-17;28.701234999999997;131.33999599999999;;283.06304900000003;24.310351999999998;50.085297;46.066711
2010-03-18;28.769109999999998;132.759995;;283.48349;24.293947;49.866211;46.083191
2010-03-19;28.461759999999998;130.350006;;280.280273;24.277538;49.952271;45.588921
2010-03-22;28.781919;130.470001;;279.029022;24.285742000000003;49.98357;45.81958
2010-03-23;29.244217;129.259995;;274.77477999999996;24.515470999999998;50.492172;46.041988
2010-03-24;29.373559999999998;128.03999299999998;;278.943939;24.326764999999998;49.772304999999996;45.786629
2010-03-25;29.025232;134.729996;;281.72171000000003;24.622132999999998;49.780128000000005;45.81134
2010-03-26;29.5695;135.059998;;281.626617;24.334965;49.834903999999995;45.728953999999995
2010-03-29;29.760305;135.119995;;281.5065;24.277538;49.866211;45.918434000000005
2010-03-30;30.203411;136.580002;;283.638641;24.42523;49.811436;46.058483
2010-03-31;30.094551;135.770004;;283.843842;24.031397;49.506283;45.803104
2010-04-01;30.218773;131.809998;;284.684692;23.92474;49.576706;45.71249
2010-04-05;30.541490999999997;131.490005;;285.790802;24.014992000000003;49.889679;45.71249
2010-04-06;30.675951;135.559998;;284.394409;24.056015;49.381084;45.74543
2010-04-07;30.811699;134.869995;;282.052063;24.080626000000002;48.903778;45.539478
