171.2676;171.3;171.02;171.05;51655.0
171.525;171.53;171.25;171.26;96112.0
171.43;171.5245;171.43;171.5245;31058.0
171.34;171.46;171.34;171.43;27687.0
171.305;171.46;171.29;171.3496;19798.0
171.33;171.43;171.29;171.32;27157.0
171.38;171.42;171.3261;171.34;25030.0
171.14;171.378;171.13;171.378;43725.0
171.3602;171.37;171.15;171.15;24379.0
171.12;171.38;171.0;171.38;62899.0
171.17;171.2405;171.09;171.12;43517.0
171.3;171.37;171.1015;171.17;52558.0
171.1535;171.3;171.14;171.3;27180.0
171.32;171.3299;171.16;171.16;39306.0
171.281;171.36;171.26;171.32;33923.0
171.32;171.36;171.28;171.3;28201.0
171.27;171.433;171.26;171.31;34615.0
171.395;171.47;171.28;171.28;43982.0
171.5886;171.5886;171.395;171.41;39510.0
171.6;171.64;171.56;171.59;70809.0
171.62;171.6467;171.57;171.6;55592.0
171.4864;171.68;171.4864;171.61;84277.0
171.59;171.6547;171.5;171.5;49729.0
171.645;171.655;171.56;171.58;46388.0
171.57;171.65;171.51;171.64;36325.0
171.447;171.61;171.447;171.59;39242.0
171.51;171.54;171.455;171.46;48236.0
171.5241;171.53;171.43;171.5;24631.0
171.51;171.535;171.45;171.52;31185.0
171.52;171.53;171.42;171.505;29869.0
171.5058;171.5302;171.469;171.51;50982.0
171.5;171.5444;171.47;171.5251;34218.0
171.51;171.53;171.47;171.5;46945.0
171.5134;171.59;171.51;171.51;43727.0
171.845;171.85;171.51;171.5136;85397.0
171.9966;172.07;171.84;171.85;260115.0
172.1076;172.19;171.99;171.9925;84812.0
171.945;172.1299;171.92;172.1;63628.0
172.035;172.04;171.87;171.941;58275.0
172.02;172.058;171.95;172.0494;46809.0
171.86;172.0896;171.85;172.02;47919.0
171.77;171.91;171.75;171.86;78451.0
171.7502;171.81;171.72;171.77;32139.0
171.61;171.81;171.58;171.7524;40913.0
171.37;171.65;171.29;171.61;72445.0
171.3;171.4;171.3;171.36;69656.0
171.295;171.38;171.29;171.32;31221.0
171.25;171.29;171.19;171.29;35660.0
171.23;171.3;171.19;171.27;34540.0
171.21;171.29;171.2;171.22;14055.0
171.22;171.2792;171.1;171.19;23142.0
171.35;171.35;171.22;171.25;13155.0
171.1608;171.36;171.14;171.34;20582.0
171.14;171.295;171.06;171.16;31226.0
171.26;171.3;171.09;171.13;21993.0
171.26;171.35;171.26;171.29;13343.0
171.2768;171.29;171.1747;171.2201;12781.0
171.25;171.305;171.2001;171.27;27125.0
171.2647;171.305;171.22;171.24;16780.0
171.22;171.2658;171.18;171.255;14024.0
171.185;171.2616;171.15;171.21;22534.0
171.17;171.18;171.06;171.18;22869.0
